County_Name,College_Ready_Rate,TSI_Ready_Rate,Participation_Rate,Year,County
McLennan County,19.383333333333336,32.421052631578945,63.76315789473684,2024,MCLENNAN
McMullen County,40.0,45.0,100.0,2024,MCMULLEN
Medina County,12.5,22.36,65.5,2024,MEDINA
Menard County,,16.7,66.7,2024,MENARD
Midland County,13.85,32.1,67.4,2024,MIDLAND
Milam County,35.2,54.56,51.839999999999996,2024,MILAM
Mills County,22.2,33.3,36.95,2024,MILLS
Mitchell County,14.133333333333333,19.066666666666666,55.0,2024,MITCHELL
Montague County,14.875,27.139999999999997,64.91666666666667,2024,MONTAGUE
Montgomery County,19.233333333333334,31.516666666666666,71.76666666666667,2024,MONTGOMERY
Moore County,11.0,14.65,71.4,2024,MOORE
Morris County,10.65,11.95,67.45,2024,MORRIS
Motley County,10.0,30.0,100.0,2024,MOTLEY
Nacogdoches County,14.742857142857144,33.957142857142856,74.075,2024,NACOGDOCHES
Navarro County,7.414285714285714,18.957142857142856,70.54285714285714,2024,NAVARRO
Newton County,9.566666666666666,9.666666666666666,75.2,2024,NEWTON
Nolan County,16.9,26.975,84.35,2024,NOLAN
Nueces County,17.772727272727273,27.0,65.52727272727273,2024,NUECES
Ochiltree County,25.0,33.3,37.3,2024,OCHILTREE
Oldham County,30.366666666666664,44.833333333333336,66.85000000000001,2024,OLDHAM
Orange County,10.559999999999999,25.46,64.62,2024,ORANGE
Palo Pinto County,12.35,29.45,46.480000000000004,2024,PALO PINTO
Panola County,19.424999999999997,20.45,67.175,2024,PANOLA
Parker County,20.642857142857142,40.857142857142854,60.175,2024,PARKER
Parmer County,8.266666666666667,16.96666666666667,73.475,2024,PARMER
Pecos County,11.0,15.833333333333334,63.56666666666666,2024,PECOS
Polk County,4.233333333333333,15.55,86.14999999999999,2024,POLK
Potter County,14.933333333333332,25.3,73.8,2024,POTTER
Presidio County,8.8,13.6,86.4,2024,PRESIDIO
Rains County,16.7,30.6,30.8,2024,RAINS
Randall County,14.2,30.7,95.7,2024,RANDALL
Reagan County,7.5,7.5,100.0,2024,REAGAN
Real County,27.8,38.9,72.0,2024,REAL
Red River County,13.85,20.4,72.35,2024,RED RIVER
Reeves County,0.7,2.0,89.35,2024,REEVES
Refugio County,6.933333333333334,21.433333333333334,64.63333333333334,2024,REFUGIO
Roberts County,26.7,26.7,100.0,2024,ROBERTS
Robertson County,14.575000000000001,30.825,53.54,2024,ROBERTSON
Rockwall County,14.7,29.95,89.75,2024,ROCKWALL
Runnels County,29.35,23.575,79.075,2024,RUNNELS
Rusk County,14.080000000000002,20.75,63.58571428571428,2024,RUSK
Sabine County,2.9,10.65,46.3,2024,SABINE
San Augustine County,12.65,10.5,29.5,2024,SAN AUGUSTINE
San Jacinto County,7.550000000000001,15.55,58.2,2024,SAN JACINTO
