County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,TXST_Market_Share
HENDERSON,860.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0
HENDERSON COU,749.0,19.0,0.0,12.0,5.0,6.0,0.0,7.0,0.0,2.53671562082777
HIDALGO,46824.0,928.0,1288.0,1602.0,140.0,5.0,1515.0,43.0,123.0,1.9818896292499573
HILL,977.0,6.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.6141248720573182
HOCKLEY,905.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
HOOD,1392.0,48.0,13.0,76.0,97.0,0.0,0.0,35.0,0.0,3.4482758620689653
HOPKINS,999.0,0.0,0.0,46.0,34.0,7.0,0.0,19.0,0.0,0.0
HOUSTON,437.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0
HOWARD,761.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
HUDSPETH,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNT,2344.0,6.0,5.0,6.0,18.0,11.0,0.0,90.0,0.0,0.25597269624573377
HUTCHINSON,362.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
HUTCHINSON CO,376.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
IRION,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JACK,225.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
JACKSON,723.0,12.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.6597510373443984
JASPER,987.0,10.0,0.0,17.0,0.0,68.0,0.0,8.0,0.0,1.0131712259371835
JEFFERSON,3206.0,75.0,55.0,101.0,0.0,30.0,0.0,0.0,61.0,2.3393636930754833
JEFFERSON COU,3207.0,74.0,53.0,113.0,0.0,28.0,5.0,19.0,60.0,2.307452447770502
JIM HOGG,232.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
JIM WELLS,652.0,12.0,0.0,10.0,0.0,0.0,35.0,0.0,0.0,1.8404907975460123
JIM WELLS COU,587.0,16.0,7.0,20.0,0.0,0.0,32.0,0.0,0.0,2.72572402044293
JOHNSON,6080.0,108.0,55.0,202.0,223.0,20.0,0.0,288.0,0.0,1.776315789473684
JONES,555.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0
KARNES,387.0,19.0,0.0,11.0,0.0,0.0,9.0,0.0,0.0,4.909560723514212
KAUFMAN,5505.0,94.0,58.0,216.0,135.0,116.0,5.0,275.0,7.0,1.7075386012715712
KENDALL,2720.0,197.0,122.0,319.0,270.0,0.0,300.0,19.0,5.0,7.24264705882353
KERR,1054.0,84.0,44.0,73.0,62.0,0.0,58.0,7.0,0.0,7.969639468690702
KIMBLE,104.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
KINNEY,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLEBERG,1012.0,13.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.2845849802371543
KNOX,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA SALLE,185.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
LAMAR,1386.0,5.0,0.0,40.0,0.0,6.0,0.0,23.0,0.0,0.36075036075036077
LAMB,445.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
LAMPASAS,604.0,48.0,13.0,48.0,21.0,0.0,11.0,7.0,0.0,7.9470198675496695
LAVACA,526.0,40.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,7.604562737642586
LEE,501.0,6.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,1.1976047904191618
LEON,640.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
LIBERTY,2274.0,20.0,0.0,59.0,0.0,33.0,0.0,0.0,37.0,0.8795074758135445
LIMESTONE,288.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.7361111111111112
LIMESTONE COU,299.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.6722408026755853
LIPSCOMB,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIVE OAK,350.0,6.0,0.0,12.0,5.0,0.0,7.0,0.0,0.0,1.7142857142857144
LLANO,305.0,21.0,0.0,37.0,20.0,0.0,0.0,0.0,0.0,6.885245901639345
LUBBOCK,8674.0,86.0,99.0,92.0,2585.0,0.0,5.0,92.0,7.0,0.9914687572054416
LYNN,192.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
MADISON,408.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,6.0,0.0
MARION,203.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
MARTIN,175.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
MASON,199.0,5.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,2.512562814070352
MATAGORDA,665.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857
MATAGORDA COU,654.0,6.0,5.0,22.0,0.0,0.0,5.0,0.0,0.0,0.9174311926605505
MAVERICK,3396.0,132.0,212.0,61.0,45.0,0.0,345.0,0.0,0.0,3.8869257950530036
MCCULLOCH,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCCULLOCH COU,91.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
MCLENNAN,10456.0,151.0,197.0,366.0,152.0,7.0,10.0,263.0,7.0,1.4441469013006887
MCMULLEN,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDINA,1863.0,91.0,21.0,110.0,71.0,0.0,219.0,0.0,0.0,4.884594739667204
MENARD,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDLAND,4221.0,68.0,88.0,146.0,407.0,0.0,21.0,45.0,0.0,1.610992655768775
MILAM,742.0,5.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.6738544474393532
MILLS,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITCHELL,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTAGUE,431.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0
MONTGOMERY,10757.0,542.0,434.0,1021.0,284.0,196.0,117.0,106.0,281.0,5.038579529608627
MONTGOMERY CO,9422.0,435.0,436.0,869.0,284.0,133.0,155.0,104.0,295.0,4.616854171088941
MOORE,870.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
MORRIS,345.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.4492753623188406
NACOGDOCHES,887.0,11.0,8.0,31.0,0.0,338.0,0.0,5.0,0.0,1.2401352874859075
NACOGDOCHES C,876.0,0.0,19.0,34.0,0.0,254.0,0.0,7.0,0.0,0.0
NAVARRO,1813.0,10.0,26.0,38.0,0.0,0.0,0.0,27.0,0.0,0.5515719801434087
NEWTON,233.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0
NOLAN,440.0,0.0,0.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0
NUECES,11131.0,319.0,348.0,436.0,88.0,0.0,544.0,24.0,62.0,2.8658700925343634
OCHILTREE,212.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
OCHILTREE COU,205.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
OLDHAM,201.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
