County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,College_Ready_Rate,TSI_Ready_Rate,Participation_Rate,High_Academic_Performance,Low_TXST_Presence,Large_Market,High_Participation,Prime_Target,Academic_Score,Market_Score,TXST_Gap_Score,Participation_Score,Strategic_Opportunity_Score,Opportunity_Tier
CORYELL,1530.0,103.0,27.0,77.0,11.0,6.0,60.0,15.0,0.0,True,TXST,103.0,6.73202614379085,6.73202614379085,22.6,35.025,58.35999999999999,False,True,False,False,False,45.2,61.67784508445669,93.26797385620915,58.35999999999999,61.07294829657884,Tier 5: Maintain/Monitor
BOSQUE,440.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,5.0,1.1363636363636365,0.0,21.3,29.18,86.08571428571429,False,True,False,True,False,42.6,51.210217942325144,100.0,86.08571428571429,61.01163681126898,Tier 5: Maintain/Monitor
HARRISON,3480.0,29.0,42.0,83.0,24.0,122.0,0.0,60.0,17.0,True,Stephen F. Austin,122.0,3.505747126436782,0.8333333333333334,18.24,24.96,59.1,False,True,True,False,False,36.48,68.585988588261,99.16666666666667,59.1,60.911129909811635,Tier 4: Volume Play
WILBARGER,170.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,9.411764705882351,0.0,22.933333333333337,25.6,94.4,False,True,False,True,False,45.866666666666674,43.24253092243618,100.0,94.4,60.75942594339753,Tier 5: Maintain/Monitor
ARCHER,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,True,Texas Tech,58.0,11.462450592885377,0.0,20.566666666666663,35.9,85.2,False,True,False,True,False,41.133333333333326,52.38315901336949,100.0,85.2,60.688281037344176,Tier 5: Maintain/Monitor
HOWARD,761.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,4.336399474375821,0.0,24.85,27.633333333333336,40.25,False,True,False,False,False,49.7,55.809782375006165,100.0,40.25,60.64793471250185,Tier 5: Maintain/Monitor
SAN SABA,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,23.7,20.7,91.66666666666669,False,True,False,True,False,47.4,41.500020235571164,100.0,91.66666666666669,60.57667273733802,Tier 5: Maintain/Monitor
HAMILTON,263.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,1.9011406844106464,0.0,25.4,32.7,61.35,True,True,False,False,False,50.8,46.894968693506364,100.0,61.35,60.52349060805191,Tier 2: Strong Opportunity
EL PASO,38033.0,342.0,782.0,320.0,803.0,0.0,363.0,127.0,17.0,True,Texas Tech,803.0,2.111324376199616,0.8992190992033234,7.56,16.06,80.08333333333333,False,True,True,True,False,15.120000000000001,88.69618200925046,99.10078090079668,80.08333333333333,60.48534411626781,Tier 4: Volume Play
HIDALGO,46824.0,928.0,1288.0,1602.0,140.0,5.0,1515.0,43.0,123.0,True,Texas A&M,1602.0,3.421322398769862,1.9818896292499573,7.44375,11.411764705882351,76.57777777777778,False,True,True,True,False,14.887499999999998,90.4449762119076,98.01811037075004,76.57777777777778,60.34989271550007,Tier 4: Volume Play
