County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
COOKE,1186.0,0.0,0.0,10.0,31.0,0.0,0.0,57.0,0.0,True,UNT,57.0,4.806070826306914,0.0,True,59.537510909749045,100.0,95.19392917369309,78.80754128961314,🔥 TOP PRIORITY
CORYELL,1530.0,103.0,27.0,77.0,11.0,6.0,60.0,15.0,0.0,True,TXST,103.0,6.73202614379085,6.73202614379085,True,61.67784508445669,93.26797385620915,93.26797385620915,0.0,⭐ TXST Territory
CRANE,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,45.80826937281681,100.0,100.0,0.0,⚫ Small Market
CROCKETT,127.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,Texas Tech,6.0,4.724409448818897,0.0,False,40.80665069164015,100.0,95.2755905511811,0.0,⚫ Small Market
CROSBY,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,38.56059343362326,100.0,100.0,0.0,⚫ Small Market
CULBERSON COU,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,24.76338488635713,100.0,100.0,0.0,⚫ Small Market
DALLAM,282.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,True,Texas Tech,56.0,19.858156028368796,0.0,False,47.479460559718326,100.0,80.1418439716312,0.0,⚫ Small Market
DALLAS,77758.0,1021.0,2854.0,2181.0,1483.0,475.0,154.0,5714.0,561.0,True,UNT,5714.0,7.348440031893824,1.3130481751073846,True,94.71061591178835,98.68695182489262,92.65155996810617,95.4917054969832,🔥 TOP PRIORITY
DAWSON,274.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,True,Texas Tech,38.0,13.86861313868613,0.0,False,47.238290721670815,100.0,86.13138686131387,0.0,⚫ Small Market
DEAF SMITH,268.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,True,Texas Tech,23.0,8.582089552238806,0.0,False,47.05276359993839,100.0,91.41791044776119,0.0,⚫ Small Market
DEAF SMITH CO,286.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,True,Texas Tech,27.0,9.44055944055944,0.0,False,47.59750069808685,100.0,90.55944055944056,0.0,⚫ Small Market
DELTA,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,42.942133925542606,100.0,100.0,0.0,⚫ Small Market
DENTON,23678.0,448.0,945.0,1427.0,1401.0,218.0,58.0,3551.0,141.0,True,UNT,3551.0,14.99704366922882,1.8920516935551988,True,84.71064587771635,98.1079483064448,85.00295633077118,88.78829869694584,🔥 TOP PRIORITY
DEWITT,701.0,52.0,0.0,35.0,0.0,0.0,18.0,0.0,0.0,True,TXST,52.0,7.417974322396577,7.417974322396577,True,55.12003357916072,92.58202567760343,92.58202567760343,0.0,⭐ TXST Territory
DICKENS,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,27.718719054118573,100.0,100.0,0.0,⚫ Small Market
