County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share
ROBERTSON,307.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,39.0,12.703583061889251,0.0
ROBERTSON COU,233.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,17.0,7.296137339055794,0.0
ROCKWALL,4660.0,130.0,145.0,288.0,370.0,131.0,11.0,307.0,0.0,True,Texas Tech,370.0,7.939914163090128,2.7896995708154506
RUNNELS,421.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,True,Texas Tech,17.0,4.038004750593824,0.0
RUSK,1504.0,0.0,10.0,16.0,0.0,59.0,0.0,0.0,0.0,True,Stephen F. Austin,59.0,3.9228723404255317,0.0
SABINE,198.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,True,Stephen F. Austin,17.0,8.585858585858585,0.0
SAN AUGUSTINE,138.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,True,Stephen F. Austin,7.0,5.072463768115942,0.0
SAN JACINTO,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
SAN JACINTO C,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
SAN PATRICIO,2372.0,85.0,0.0,58.0,7.0,0.0,73.0,0.0,0.0,True,TXST,85.0,3.583473861720068,3.583473861720068
SAN SABA,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
SCHLEICHER,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
SCHLEICHER CO,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
SCURRY,477.0,14.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,True,Texas Tech,56.0,11.740041928721174,2.9350104821802936
SHACKELFORD,74.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,True,Texas Tech,18.0,24.324324324324326,0.0
SHACKELFORD C,64.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,Texas Tech,6.0,9.375,0.0
SHELBY,1045.0,0.0,0.0,5.0,0.0,107.0,0.0,0.0,0.0,True,Stephen F. Austin,107.0,10.239234449760765,0.0
SHERMAN,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
SMITH,7426.0,21.0,94.0,224.0,79.0,139.0,0.0,70.0,0.0,True,Texas A&M,224.0,3.0164287638028546,0.28279019660651766
SOMERVELL,126.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,True,Texas Tech,15.0,11.904761904761903,0.0
SOMERVELL COU,182.0,5.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,True,Texas A&M,11.0,6.043956043956044,2.7472527472527473
STARR,3627.0,19.0,88.0,66.0,0.0,0.0,134.0,0.0,0.0,True,UTSA,134.0,3.694513371932727,0.5238489109456851
STEPHENS,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
STERLING,57.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,Texas Tech,12.0,21.052631578947366,0.0
SUTTON,193.0,5.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,True,Texas Tech,13.0,6.7357512953367875,2.5906735751295336
SWISHER,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
TARRANT,55816.0,1081.0,2008.0,2293.0,1943.0,379.0,121.0,4853.0,360.0,True,UNT,4853.0,8.694639529883904,1.9367206535760355
TAYLOR,5572.0,106.0,76.0,232.0,496.0,11.0,13.0,150.0,76.0,True,Texas Tech,496.0,8.90165111270639,1.9023689877961234
TERRY,223.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,Texas Tech,8.0,3.587443946188341,0.0
TITUS,1308.0,0.0,11.0,35.0,10.0,5.0,0.0,6.0,0.0,True,Texas A&M,35.0,2.675840978593272,0.0
TOM GREEN,1737.0,20.0,40.0,43.0,139.0,0.0,18.0,10.0,0.0,True,Texas Tech,139.0,8.00230282095567,1.1514104778353482
TOM GREEN COU,1533.0,23.0,27.0,48.0,103.0,0.0,5.0,7.0,0.0,True,Texas Tech,103.0,6.718851924331376,1.5003261578604044
TRAVIS,26933.0,3335.0,3129.0,1621.0,700.0,53.0,1449.0,551.0,453.0,True,TXST,3335.0,12.382578992314262,12.382578992314262
TRINITY,287.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,True,Stephen F. Austin,10.0,3.484320557491289,0.0
TYLER,431.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,True,Stephen F. Austin,55.0,12.761020881670534,0.0
UPSHUR,1277.0,5.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,True,Texas A&M,15.0,1.1746280344557558,0.39154267815191857
UPTON,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
UVALDE,867.0,20.0,0.0,21.0,11.0,0.0,58.0,0.0,0.0,True,UTSA,58.0,6.6897347174163775,2.306805074971165
VAL VERDE,887.0,45.0,31.0,46.0,29.0,0.0,103.0,0.0,0.0,True,UTSA,103.0,11.61217587373168,5.0732807215332585
VAL VERDE COU,840.0,44.0,43.0,52.0,25.0,0.0,87.0,0.0,0.0,True,UTSA,87.0,10.357142857142858,5.238095238095238
VAN ZANDT,895.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,0.0,True,Texas A&M,16.0,1.7877094972067038,0.0
VAN ZANDT COU,972.0,0.0,0.0,31.0,0.0,7.0,0.0,0.0,0.0,True,Texas A&M,31.0,3.189300411522634,0.0
VICTORIA,1969.0,120.0,60.0,96.0,0.0,0.0,75.0,0.0,5.0,True,TXST,120.0,6.094464195022854,6.094464195022854
WALKER,1727.0,36.0,25.0,74.0,12.0,0.0,36.0,23.0,12.0,True,Texas A&M,74.0,4.284887087434859,2.0845396641574987
WALLER,1505.0,70.0,27.0,124.0,10.0,0.0,12.0,0.0,21.0,True,Texas A&M,124.0,8.23920265780731,4.651162790697675
WARD,326.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,True,Texas Tech,17.0,5.214723926380368,0.0
WASHINGTON,531.0,24.0,6.0,59.0,0.0,0.0,6.0,0.0,0.0,True,Texas A&M,59.0,11.11111111111111,4.519774011299435
WASHINGTON CO,532.0,0.0,8.0,47.0,5.0,0.0,6.0,0.0,0.0,True,Texas A&M,47.0,8.834586466165414,0.0
WEBB,14937.0,200.0,410.0,343.0,6.0,0.0,596.0,12.0,26.0,True,UTSA,596.0,3.990091718551249,1.338956952533976
WHARTON,1830.0,30.0,9.0,107.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,107.0,5.8469945355191255,1.639344262295082
WHEELER,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
WICHITA,2896.0,31.0,76.0,99.0,177.0,0.0,0.0,105.0,0.0,True,Texas Tech,177.0,6.111878453038674,1.0704419889502763
WILBARGER,170.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,9.411764705882353,0.0
WILBARGER COU,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
WILLACY,747.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,True,UTSA,12.0,1.6064257028112447,0.0
WILLIAMSON,13449.0,1346.0,1226.0,1347.0,638.0,73.0,613.0,399.0,100.0,True,Texas A&M,1347.0,10.015614543832255,10.008179046769277
WILLIAMSON CO,13041.0,1198.0,1132.0,1208.0,713.0,68.0,514.0,345.0,139.0,True,Texas A&M,1208.0,9.263093321064336,9.186412084962809
WILSON,1798.0,135.0,27.0,124.0,64.0,0.0,139.0,0.0,0.0,True,UTSA,139.0,7.7308120133481655,7.508342602892102
WINKLER,197.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,2.5380710659898478,0.0
WISE,1495.0,0.0,0.0,42.0,67.0,0.0,0.0,51.0,0.0,True,Texas Tech,67.0,4.481605351170568,0.0
WOOD,1061.0,0.0,0.0,11.0,0.0,8.0,0.0,7.0,0.0,True,Texas A&M,11.0,1.0367577756833177,0.0
YOAKUM,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
YOUNG,547.0,0.0,0.0,0.0,47.0,0.0,0.0,24.0,0.0,True,Texas Tech,47.0,8.592321755027422,0.0
ZAPATA,639.0,7.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,True,UTSA,18.0,2.8169014084507045,1.0954616588419406
ZAVALA,471.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,True,UTSA,24.0,5.095541401273886,2.547770700636943
